name,application,ad_security_group,security_groups
Sales File Server Security Group,Security Group,"CN=OT-FS-Sales-GS,OU=Security Groups,OU=OT,DC=otcorp,DC=opentable,DC=com","Basic Sales, Basic Sales Operations, Basic Inside Sales"
Marketing Security Group,Security Group,"CN=Marketing_SG,OU=Security Groups,OU=OT,DC=otcorp,DC=opentable,DC=com",Basic Public Relations
BizOpti Distribution List,Distribution List,"CN=BizOptiSFDC,OU=Distribution Lists,OU=OT,DC=otcorp,DC=opentable,DC=com",Basic BizOpti/Internal Systems Engineering
BizOpit SFDC Distribution List,Distribution List,"CN=BizOptiSFDC,OU=Distribution Lists,OU=OT,DC=otcorp,DC=opentable,DC=com",Basic BizOpti/Internal Systems Engineering
On Board Approved Distribution List,Security Group,"CN=OnBoardApproved,OU=Security Groups,OU=OT,DC=otcorp,DC=opentable,DC=com","Basic BizOpti/Internal Systems Engineering, Basic TechTable"
Off Board Approved Distribution List,Security Group,"CN=OffBoardApproved,OU=Security Groups,OU=OT,DC=otcorp,DC=opentable,DC=com","Basic BizOpti/Internal Systems Engineering, Basic TechTable"
Tier 1,CHARM EU,,Basic Customer Support - Tier 1
Tier 2,CHARM EU,,Basic Customer Support - Tier 2
Administration,CHARM EU,,Basic TechTable
Tier 1,CHARM JP,,Basic Customer Support - Tier 1
Tier 2,CHARM JP,,Basic Customer Support - Tier 2
Administration,CHARM JP,,Basic TechTable
Tier 1,CHARM NA,,Basic Customer Support - Tier 1
Tier 2,CHARM NA,,Basic Customer Support - Tier 2
Administration,CHARM NA,,Basic TechTable
Regular,Docusign,,"Basic Sales, Basic Sales Operations"
Administration,Docusign,,Basic TechTable
Regular,Five9,,Basic Customer Support - Tier 1
Administration,Five9,,Basic TechTable
Regular,Gifts,,Default OpenTable
Regular,Github,,"Basic Product Engineering - Back End, Basic Product Engineering - Front End Diner, Basic Product Engineering - Front End Restaurant, Basic Infrastructure Engineering"
Administration,Github,,Basic TechTable
Regular,Great Plains,,"Basic Finance, Basic Finance Operations"
Administration,Great Plains,,Basic TechTable
Administration,HipChat,,Basic TechTable
Regular,HipChat,,Default OpenTable
Basic ,JIRA,,Default OpenTable
Regular,OT SQL,,OT SQL Profile
Regular,OTA,,Basic Customer Support - Tier 1
Regular,OTA,,Basic Customer Support - Tier 2
Administration,OTA,,Basic TechTable
Regular,OTR,,Basic Customer Support - Tier 1
Regular,OTR,,Basic Customer Support - Tier 2
Administration,OTR,,Basic TechTable
Regular,PagerDuty,,Basic Infrastructure Engineering
Regular,Putty,,
Regular,QA SQL,,QA SQL Profile
Tier 1,ROMS,,Basic Customer Support - Tier 1
Administration,ROMS,,Basic TechTable
Regular,Salesforce,,"Basic Sales, Basic Sales Operations, Basic Finance, Basic Finance Operations"
Administration,Salesforce,,Basic BizOpti/Internal Systems Engineering
Basic - Chatter Only,Salesforce,,Default OpenTable
Regular,Salesforce sandbox,,"Basic Sales, Basic Sales Operations"
Regular,Test email Account,,"Basic Sales, Basic Sales Operations"
Regular,Zendesk,,Default OpenTable
Location,Distribution List,,Default OpenTable
